title,description,category,source,url,scraped_at,price_raw,price_min,price_max,price_midpoint,supplier_name,supplier_location,supplier_city,supplier_state,moq,has_description,has_price,ai_extracted,ai_confidence,ai_product_type,ai_industry,ai_material,ai_application,ai_capacity,ai_power_source,ai_fiber_content,ai_purity,quality_score
Cnc Wood Lathe Machine Multi functional,,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/cnc-wood-lathe-machine-multi-functional-2855298898462.html,2026-06-11T07:15:02.296382,"₹ 11,50,000",1150000.0,1150000.0,1150000.0,"Sarthana, SuratJak Machinery",,,,,False,True,True,0.8,Machine,Manufacturing,,CNC Wood Lathe,,,,,0.7
OC 800 CNC Lathe Machine,,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/oc-800-cnc-lathe-machine-25181928288.html,2026-06-11T07:15:02.307742,"₹ 35,50,000",3550000.0,3550000.0,3550000.0,"Pardi, RajkotOm CNC Automation",,,,,False,True,True,0.9,Machine,Manufacturing,,CNC Lathe,,,,,0.7
Anyang CK 6194 CNC Lathe Machine 4 Meter,,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/anyang-ck-6194-cnc-lathe-machine-4-meter-2854858731630.html,2026-06-11T07:15:02.316007,"₹ 1,100",1100.0,1100.0,1100.0,New DelhiA. R. International,,,,,False,True,True,0.7,Machine,Manufacturing,,CNC Lathe,,,,,0.7
"Semi-Automatic Monfort CNC Lathe (3 meter), Electric",,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/cnc-lathe-3-meter-18178580655.html,2026-06-11T07:15:02.331684,"₹ 12,50,000",1250000.0,1250000.0,1250000.0,New DelhiD. P. Enterprises,,,,,False,True,True,0.6,Machine,Manufacturing,Electric,CNC Lathe,,,,,0.7
ST500 5000 CNC Lathe Machine Flat Bed,,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/st500-5000-cnc-lathe-machine-5673769930.html,2026-06-11T07:15:02.347613,"₹ 99,00,000",9900000.0,9900000.0,9900000.0,"Thekkalur, TiruppurTussor Machine Tools India Private Limited",,,,,False,True,True,0.5,Machine,Manufacturing,,CNC Lathe,,,,,0.7
CNC Lathe Machine,,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/cnc-lathe-machine-11664709455.html,2026-06-11T07:15:02.363520,Contact Supplier,,,,"Pappanaickenpalayam, CoimbatoreMaaster Machinery & Tools",,,,,False,False,True,0.8,CNC Lathe Machine,,,,,,,,0.7
"Cnc Lathe Machine, Maximum Turning Diameter: 500 mm, Maximum Turning Length: 200 mm",,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/cnc-lathe-machine-26764955962.html,2026-06-11T07:15:02.378874,"₹ 2,00,000",200000.0,200000.0,200000.0,AhmedabadBhavya Machine Tools LLP,,,,,False,True,True,0.9,CNC Lathe Machine,,,,,,,,0.7
CNC Lathe Machine,,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/cnc-lathe-machine-2858813241488.html,2026-06-11T07:15:02.407956,"₹ 20,00,000",2000000.0,2000000.0,2000000.0,RajkotYogi Machine Tools,,,,,False,True,True,0.8,CNC Lathe Machine,,,,,,,,0.7
CNC Lathe Machine GT-50,,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/cnc-lathe-machine-gt-50-2855742339630.html,2026-06-11T07:15:02.430176,"₹ 7,00,000",700000.0,700000.0,700000.0,RajkotSV CNC Technology,,,,,False,True,True,0.8,CNC Lathe Machine GT-50,,,,,,,,0.7
"Flat Bed Cnc Lathe, Maximum Turning Length: 600 mm",,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/flat-bed-cnc-lathe-2854153295112.html,2026-06-11T07:15:02.436619,"₹ 8,50,000",850000.0,850000.0,850000.0,AhmedabadMachinery Clinic,,,,,False,True,True,0.8,Flat Bed Cnc Lathe,,,,,,,,0.7
"CNC Lathe trainer with FANUC Controller, Maximum Turning Diameter: 500 mm",,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/cnc-lathe-trainer-with-fanuc-controller-2854115668262.html,2026-06-11T07:15:02.452147,"₹ 12,07,000",1207000.0,1207000.0,1207000.0,"Vadgaon Budruk, PuneCad Mech Engineering Private Limited",,,,,False,True,True,0.8,CNC Lathe trainer,Manufacturing,,,,,,,0.7
